spt_objectid,t,population
237,9,4202.27315745
237,10,4359.07417399
238,1,2362.66764847
238,2,2434.45199176
238,3,2508.4173409
238,4,2584.62996084
238,5,2663.15812984
238,6,2744.07220066
238,7,2827.44466357
238,8,2913.35021127
238,9,3001.86580586
238,10,3093.07074773
239,1,1853.25784867
239,2,1928.44730694
239,3,2006.68731462
239,4,2088.10163709
239,5,2172.81906106
239,6,2260.97359835
239,7,2352.7046978
239,8,2448.15746592
239,9,2547.48289641
239,10,2650.838109
240,1,4420.94565498
240,2,4579.37218469
240,3,4743.4759987
240,4,4913.46054497
240,5,5089.53656214
240,6,5271.92234073
240,7,5460.84399382
240,8,5656.53573735
240,9,5859.24018047
240,10,6069.20862637
241,1,1333.15499646
241,2,1399.45058628
241,3,1469.04294598
241,4,1542.09601846
241,5,1618.78189923
241,6,1699.28124184
241,7,1783.78368342
241,8,1872.48829145
241,9,1965.60403272
241,10,2063.35026557
242,1,1159.81215297
242,2,1212.95241675
242,3,1268.5274607
242,4,1326.64884156
242,5,1387.43322738
242,6,1451.00263169
242,7,1517.48465846
242,8,1587.01275818
242,9,1659.72649581
242,10,1735.77183088
243,1,1285.01102544
243,2,1333.80721769
243,3,1384.45636554
243,4,1437.02883195
243,5,1491.5976518
243,6,1548.23863334
243,7,1607.03046353
243,8,1668.05481733
243,9,1731.39647116
243,10,1797.14342072
244,1,2076.89234441
244,2,2142.81262309
244,3,2210.82520238
244,4,2280.99649163
244,5,2353.395008
244,6,2428.09144336
244,7,2505.15873336
244,8,2584.67212859
244,9,2666.7092681
244,10,2751.35025518
245,1,4428.58203689
245,2,4602.75495364
245,3,4783.77796477
245,4,4971.92047953
245,5,5167.46250281
245,6,5370.69505193
245,7,5581.92058967
245,8,5801.45347448
245,9,6029.62042829
245,10,6266.76102276
246,1,2258.54121444
246,2,2331.35668068
246,3,2406.51972069
246,4,2484.10602036
246,5,2564.19370568
246,6,2646.86342143
246,7,2732.19841238
246,8,2820.28460712
246,9,2911.21070459
246,10,3005.06826336
247,1,1039.61374583
247,2,1076.49077742
247,3,1114.67590584
247,4,1154.21553173
247,5,1195.15770164
247,6,1237.55216639
247,7,1281.4504416
247,8,1326.90587021
247,9,1373.97368735
247,10,1422.71108743
248,1,3872.56492905
248,2,4028.13836414
248,3,4189.96168637
248,4,4358.28597386
248,5,4533.37239139
248,6,4715.49259555
248,7,4904.92915625
248,8,5101.97599515
248,9,5306.93884171
248,10,5520.1357075
249,1,4308.96178385
249,2,4440.83990785
249,3,4576.75423371
249,4,4716.82829159
249,5,4861.18939236
249,6,5009.96874331
249,7,5163.30156738
249,8,5321.32722611
249,9,5484.18934625
249,10,5652.03595035
250,1,3797.95703002
250,2,3942.19120029
250,3,4091.90291959
250,4,4247.3002076
250,5,4408.59898389
250,6,4576.02336796
250,7,4749.80599067
250,8,4930.18831743
250,9,5117.42098373
250,10,5311.7641434
251,1,2208.2294432
251,2,2297.96290001
251,3,2391.34275928
251,4,2488.51719596
251,5,2589.64040624
251,6,2694.8728522
251,7,2804.38151645
251,8,2918.34016711
251,9,3036.9296335
251,10,3160.33809314
252,1,2313.26909292
252,2,2383.61420768
252,3,2456.09847486
252,4,2530.78694479
252,5,2607.74664594
252,6,2687.04664508
252,7,2768.75810926
252,8,2852.95436968
252,9,2939.71098747
252,10,3029.10582157
253,1,1203.25968392
253,2,1247.05759426
253,3,1292.44972153
253,4,1339.49409424
253,5,1388.25085309
253,6,1438.7823279
253,7,1491.15311722
253,8,1545.43017097
253,9,1601.682876
253,10,1659.9831448
254,1,1491.20334094
254,2,1536.75701729
254,3,1583.70227947
254,4,1632.08163801
254,5,1681.93890206
254,6,1733.31921908
254,7,1786.26911569
254,8,1840.83653982
254,9,1897.07090415
254,10,1955.0231308
255,1,2303.24230757
255,2,2382.0948035
255,3,2463.64684871
255,4,2547.99086344
255,5,2635.22243196
255,6,2725.44041094
255,7,2818.74704143
255,8,2915.24806474
255,9,3015.05284229
255,10,3118.27447954
256,1,1845.15145523
256,2,1903.06533972
256,3,1962.79697093
256,4,2024.40340259
256,5,2087.94347919
256,6,2153.47789216
256,7,2221.06923787
256,8,2290.78207738
256,9,2362.68299815
256,10,2436.84067764
257,1,2327.02763236
257,2,2417.43642935
257,3,2511.35775471
257,4,2608.92807587
257,5,2710.28916222
257,6,2815.58829115
257,7,2924.97846198
257,8,3038.61861833
257,9,3156.67387904
257,10,3279.31577806
258,1,5065.75338736
258,2,5223.25613303
258,3,5385.65590249
258,4,5553.10495241
258,5,5725.76027337
258,6,5903.78373703
258,7,6087.34224794
258,8,6276.60789997
258,9,6471.75813767
258,10,6672.97592268
259,1,4335.46588933
259,2,4516.16157558
259,3,4704.38838579
259,4,4900.46020585
259,5,5104.70400396
259,6,5317.46037586
259,7,5539.08411278
259,8,5769.94479315
259,9,6010.42739886
259,10,6260.93295725
260,1,2665.17939168
260,2,2797.62945641
260,3,2936.66182464
260,4,3082.60361377
260,5,3235.79819777
260,6,3396.60601509
260,7,3565.40541673
260,8,3742.59355637
260,9,3928.58732488
260,10,4123.82433111
261,1,2519.4069712
261,2,2632.68829803
261,3,2751.06314851
261,4,2874.76054525
261,5,3004.01980848
261,6,3139.09101913
261,7,3280.23550263
261,8,3427.72633451
261,9,3581.84886875
261,10,3742.90128981
262,1,1503.01872208
262,2,1549.42748896
262,3,1597.26922113
262,4,1646.5881643
262,5,1697.42993038
262,6,1749.84153963
262,7,1803.87146415
262,8,1859.56967272
262,9,1916.98767703
262,10,1976.17857926
263,1,3081.51886619
263,2,3181.15863407
263,3,3284.02021683
263,4,3390.20779066
263,5,3499.82890024
263,6,3612.99456768
263,7,3729.81940495
263,8,3850.42172993
263,9,3974.92368629
263,10,4103.45136716
264,1,1151.97615967
264,2,1208.60571262
264,3,1268.01909597
264,4,1330.35315899
264,5,1395.75147824
264,6,1464.3646883
264,7,1536.35082877
264,8,1611.87570823
264,9,1691.11328619
264,10,1774.24607377
265,1,3832.91648667
265,2,3971.68120945
265,3,4115.46969113
265,4,4264.46380901
265,5,4418.85202497
265,6,4578.82962386
265,7,4744.59896051
265,8,4916.3697157
265,9,5094.35916135
265,10,5278.7924354
266,1,2214.31965876
266,2,2306.30834956
266,3,2402.11849369
266,4,2501.90884442
266,5,2605.84475005
266,6,2714.0984279
266,7,2826.84924962
266,8,2944.28403846
266,9,3066.5973788
266,10,3193.99193856
267,1,2757.91804312
267,2,2860.51595808
267,3,2966.93064062
267,4,3077.30407915
267,5,3191.7835442
267,6,3310.52178498
267,7,3433.67723314
267,8,3561.41421419
267,9,3693.90316672
267,10,3831.32086989
268,1,5162.25780037
268,2,5369.51553445
268,3,5585.09438886
268,4,5809.32844543
268,5,6042.56519894
268,6,6285.1660956
268,7,6537.50709322
268,8,6799.97924379
268,9,7072.98929954
268,10,7356.96034323
269,1,1836.68989464
269,2,1919.99417705
269,3,2007.07678017
269,4,2098.10907222
269,5,2193.27019397
269,6,2292.7474112
269,7,2396.73648328
269,8,2505.44204835
269,9,2619.07802607
269,10,2737.86803857
270,1,2651.32203106
270,2,2778.46186261
270,3,2911.69847778
270,4,3051.32423793
270,5,3197.64552408
270,6,3350.9834093
270,7,3511.67436316
270,8,3680.0709901
270,9,3856.54280313
270,10,4041.47703465
271,1,1983.35207117
271,2,2044.53505104
271,3,2107.60541998
271,4,2172.62140069
271,5,2239.64301191
271,6,2308.73212388
271,7,2379.95251542
271,8,2453.36993281
271,9,2529.05215051
271,10,2607.06903368
272,1,4095.13891388
272,2,4258.54817776
272,3,4428.47799883
272,4,4605.18856838
272,5,4788.95046017
272,6,4980.04504472
272,7,5178.76492014
272,8,5385.41436016
272,9,5600.30978001
272,10,5823.78022091
273,1,4884.62178772
273,2,5078.65687721
273,3,5280.39975198
273,4,5490.15659353
273,5,5708.24574601
273,6,5934.99819937
273,7,6170.75809169
273,8,6415.88323147
273,9,6670.74564069
273,10,6935.73211939
274,1,3227.58825554
274,2,3370.21221201
274,3,3519.1385811
274,4,3674.64586023
274,5,3837.02485337
274,6,4006.5792148
274,7,4183.62601702
274,8,4368.49634361
274,9,4561.53590845
274,10,4763.10570215
275,1,4539.49838745
275,2,4682.3552851
275,3,4829.70785417
275,4,4981.69757234
275,5,5138.47036956
275,6,5300.17676814
275,7,5466.97202731
275,8,5639.01629226
275,9,5816.47474791
275,10,5999.51777751
276,1,1629.78037739
276,2,1700.5019709
276,3,1774.29240966
276,4,1851.28486109
276,5,1931.61827117
276,6,2015.43761522
276,7,2102.89415951
276,8,2194.14573425
276,9,2289.35701846
276,10,2388.69983709
277,1,4851.20055159
277,2,5064.37417511
277,3,5286.9151693
277,4,5519.23515935
277,5,5761.76385827
277,6,6014.94986171
277,7,6279.2614777
277,8,6555.1875929
277,9,6843.23857681
277,10,7143.94722584
278,1,3702.00125784
278,2,3833.51421344
278,3,3969.69914408
278,4,4110.72202087
278,5,4256.75471102
278,6,4407.97518728
278,7,4564.56774484
278,8,4726.72322599
278,9,4894.6392526
278,10,5068.52046708
279,1,3644.56139344
279,2,3784.28141041
279,3,3929.35781489
279,4,4079.99595246
279,5,4236.40904094
279,6,4398.8184722
279,7,4567.4541255
279,8,4742.55469291
279,9,4924.3680171
279,10,5113.15144222
280,1,3151.91307581
280,2,3275.48830776
280,3,3403.90848232
280,4,3537.36355235
280,5,3676.05091807
280,6,3820.17571909
280,7,3969.95113778
280,8,4125.59871463
280,9,4287.34867595
280,10,4455.4402744
281,1,2394.55014589
281,2,2478.97553014
281,3,2566.37752588
281,4,2656.86108042
281,5,2750.53484122
281,6,2847.51128635
281,7,2947.90685956
281,8,3051.84211009
281,9,3159.44183743
281,10,3270.83524114
282,1,3574.43920839
282,2,3719.53876403
282,3,3870.52844113
282,4,4027.64734123
282,5,4191.14427192
282,6,4361.27814078
282,7,4538.31836538
282,8,4722.54529995
282,9,4914.25067934
282,10,5113.73808095
283,1,2987.30565613
283,2,3088.95641507
283,3,3194.06610256
283,4,3302.75241753
283,5,3415.13706392
283,6,3531.34588699
283,7,3651.50901418
283,8,3775.76100086
283,9,3904.24098098
283,10,4037.09282291
284,1,3378.70822422
284,2,3491.03035608
284,3,3607.08653672
284,4,3727.00090125
284,5,3850.90171153
284,6,3978.9214934
284,7,4111.19717837
284,8,4247.87025013
284,9,4389.08689588
284,10,4534.99816266
285,1,2718.50103552
285,2,2836.94736281
285,3,2960.55445048
285,4,3089.54715522
285,5,3224.16013081
285,6,3364.638255
285,7,3511.237075
285,8,3664.2232723
285,9,3823.87514784
285,10,3990.48312825
286,1,3919.02972795
286,2,4059.95083494
286,3,4205.93920596
286,4,4357.17705051
286,5,4513.85313003
286,6,4676.16299344
286,7,4844.30922127
286,8,5018.50167844
286,9,5198.95777625
286,10,5385.90274372
287,1,2618.79728701
287,2,2720.38842937
287,3,2825.92060232
287,4,2935.54669047
287,5,3049.42550928
287,6,3167.72203516
287,7,3290.60764446
287,8,3418.26036173
287,9,3550.86511765
287,10,3688.61401692
288,1,2274.04772898
288,2,2348.45280367
288,3,2425.29235458
288,4,2504.6460359
288,5,2586.59610801
288,6,2671.2275228
288,7,2758.62801172
288,8,2848.88817672
288,9,2942.10158419
288,10,3038.36486192
289,1,2444.62277065
289,2,2553.92328666
289,3,2668.11069277
289,4,2787.40348469
289,5,2912.02992721
289,6,3042.22849097
289,7,3178.24830879
289,8,3320.34965233
289,9,3468.80443018
289,10,3623.8967081
290,1,3214.63853176
290,2,3370.48300388
290,3,3533.88275764
290,4,3705.20407026
290,5,3884.83097596
290,6,4073.16612678
290,7,4270.63169518
290,8,4477.67032038
290,9,4694.7461006
290,10,4922.34563334
291,1,4733.29555731
291,2,4921.81169439
291,3,5117.83599011
291,4,5321.66747694
291,5,5533.61709713
291,6,5754.008177
291,7,5983.17692024
291,8,6221.47292073
291,9,6469.25969588
291,10,6726.91524112
292,1,4970.63265346
292,2,5169.94956595
292,3,5377.25886782
292,4,5592.88104509
292,5,5817.14943496
292,6,6050.41074105
292,7,6293.02556944
292,8,6545.3689861
292,9,6807.83109673
292,10,7080.81764986
293,1,3137.29980165
293,2,3275.42430797
293,3,3419.62996064
293,4,3570.1844916
293,5,3727.36742009
293,6,3891.47057163
293,7,4062.7986198
293,8,4241.66965193
293,9,4428.41575963
293,10,4623.38365535
294,1,4519.95466107
294,2,4713.88789527
294,3,4916.14203138
294,4,5127.07408611
294,5,5347.05639436
294,6,5576.47726643
294,7,5815.74167345
294,8,6065.27196227
294,9,6325.50860095
294,10,6596.91095628
295,1,5113.71623756
295,2,5347.66743524
295,3,5592.32183981
295,4,5848.16912023
295,5,6115.72134768
295,6,6395.51402046
295,7,6688.10713578
295,8,6994.0863106
295,9,7314.06395367
295,10,7648.6804913
296,1,4021.56440774
296,2,4221.60800981
296,3,4431.60232724
296,4,4652.0423358
296,5,4883.44763272
296,6,5126.36366139
296,7,5381.36299707
296,8,5649.04669645
296,9,5930.04571446
296,10,6225.02239142
297,1,1599.6211544
297,2,1651.8966027
297,3,1705.88040708
297,4,1761.6283964
297,5,1819.19822406
297,6,1878.64942753
297,7,1940.04348997
297,8,2003.44390381
297,9,2068.9162364
297,10,2136.52819782
298,1,3121.93113999
298,2,3238.02459894
298,3,3358.43515863
298,4,3483.32335659
298,5,3612.8557002
298,6,3747.20488861
298,7,3886.55004308
298,8,4031.07694571
298,9,4180.97828721
298,10,4336.45392373
299,1,3582.34520932
299,2,3752.39684174
299,3,3930.52071622
299,4,4117.10001692
299,5,4312.53611752
299,6,4517.24944462
299,7,4731.68038224
299,8,4956.2902191
299,9,5191.56214106
299,10,5438.00227044
300,1,4358.21182276
300,2,4505.2206575
300,3,4657.18831443
300,4,4814.28206185
300,5,4976.67481025
300,6,5144.54530267
300,7,5318.07831138
300,8,5497.46484132
300,9,5682.90234028
300,10,5874.59491627
301,1,5221.02899909
301,2,5481.42847564
301,3,5754.81540876
301,4,6041.83754948
301,5,6343.17495549
301,6,6659.54160244
301,7,6991.68707561
301,8,7340.39834594
301,9,7706.50163464
301,10,8090.8643708
302,1,1668.3554834
302,2,1736.37555771
302,3,1807.16886023
302,4,1880.84845752
302,5,1957.53202593
302,6,2037.34203955
302,7,2120.40596584
302,8,2206.85646922
302,9,2296.8316229
302,10,2390.47512946
303,1,2255.43987892
303,2,2350.74355242
303,3,2450.07428524
303,4,2553.60224087
303,5,2661.50477309
303,6,2773.96672975
303,7,2891.18076945
303,8,3013.34769158
303,9,3140.67678034
303,10,3273.38616321
304,1,2542.76916623
304,2,2620.86543687
304,3,2701.36028444
304,4,2784.32737664
304,5,2869.8426437
304,6,2957.98434793
304,7,3048.8331553
304,8,3142.47220928
304,9,3238.98720693
304,10,3338.46647735
305,1,1745.64155771
305,2,1802.04875694
305,3,1860.27865117
305,4,1920.39013743
305,5,1982.44401591
305,6,2046.50305145
305,7,2112.63203701
305,8,2180.89785922
305,9,2251.36956604
305,10,2324.11843657
306,1,1381.40113074
306,2,1425.14494698
306,3,1470.27396657
306,4,1516.83205371
306,5,1564.86446164
306,6,1614.41787659
306,7,1665.54046319
306,8,1718.28191124
306,9,1772.69348403
306,10,1828.82806818
307,1,3935.8913466
307,2,4057.42291572
307,3,4182.70710934
307,4,4311.85980016
307,5,4445.00043876
307,6,4582.2521641
307,7,4723.74191739
307,8,4869.60055951
307,9,5019.96299203
307,10,5174.96828197
308,1,4173.15594729
308,2,4321.39716139
308,3,4474.90428404
308,4,4633.86437382
308,5,4798.47113413
308,6,4968.92514921
308,7,5145.43412855
308,8,5328.21316004
308,9,5517.48497202
308,10,5713.48020474
309,1,4346.65421473
309,2,4548.24334676
309,3,4759.18177968
309,4,4979.90311539
309,5,5210.86106535
309,6,5452.53038326
309,7,5705.40784096
309,8,5970.01324956
309,9,6246.89052797
309,10,6536.60882098
310,1,1075.40850559
310,2,1122.81888727
310,3,1172.31939961
310,4,1224.00218797
310,5,1277.96345999
310,6,1334.30366476
310,7,1393.12767973
310,8,1454.54500596
310,9,1518.66997201
310,10,1585.62194668
311,1,3868.7470351
311,2,4012.65512644
311,3,4161.9162529
311,4,4316.72953452
311,5,4477.30149813
311,6,4643.84635286
311,7,4816.5862759
311,8,4995.7517089
311,9,5181.5816654
311,10,5374.32404964
312,1,3661.87629451
312,2,3780.4730748
312,3,3902.91083583
312,4,4029.313975
312,5,4159.81091858
312,6,4294.53425216
312,7,4433.62085536
312,8,4577.21204091
312,9,4725.45369822
312,10,4878.49644159
313,1,1451.95210318
313,2,1517.75731457
313,3,1586.54494241
313,4,1658.45015545
313,5,1733.61424855
313,6,1812.18492029
313,7,1894.31656326
313,8,1980.1705674
313,9,2069.91563714
313,10,2163.72812294
314,1,4441.1204698
314,2,4633.20437568
314,3,4833.59614602
314,4,5042.65510614
314,5,5260.75612262
314,6,5488.2902755
314,7,5725.66555949
314,8,5973.30761557
314,9,6231.66049422
314,10,6501.18745166
315,1,3687.33265709
315,2,3854.95382027
315,3,4030.19481516
315,4,4213.40202903
315,5,4404.93759544
315,6,4605.18011004
315,7,4814.52537895
315,8,5033.38720108
315,9,5262.19818609
315,10,5501.41060949
316,1,4684.69939513
316,2,4854.32612757
316,3,5030.09481832
316,4,5212.22785951
316,5,5400.9556958
316,6,5596.51711596
316,7,5799.15955497
316,8,6009.13940709
316,9,6226.72235029
316,10,6452.18368238
317,1,3839.58259621
317,2,3981.20294711
317,3,4128.04686679
317,4,4280.30702297
317,5,4438.18318981
317,6,4601.88250997
317,7,4771.61976643
317,8,4947.61766431
317,9,5130.10712303
317,10,5319.32757934
318,1,3723.86429982
318,2,3885.44839547
318,3,4054.04386906
318,4,4229.95495486
318,5,4413.49908833
318,6,4605.00747893
318,7,4804.82570781
318,8,5013.3143514
318,9,5230.84963209
318,10,5457.82409713
319,1,1563.69101162
319,2,1613.94691738
319,3,1665.81801184
319,4,1719.35620601
319,5,1774.61507929
319,6,1831.64993305
319,7,1890.51784604
319,8,1951.27773146
319,9,2013.99039595
319,10,2078.71860042
320,1,2477.43362801
320,2,2556.3004503
320,3,2637.67792539
320,4,2721.6459776
320,5,2808.28707557
320,6,2897.68631325
320,7,2989.93149348
320,8,3085.11321424
320,9,3183.32495758
320,10,3284.6631815
321,1,4571.0526575
321,2,4722.99330869
321,3,4879.98442925
321,4,5042.19389555
321,5,5209.79516407
321,6,5382.967457
321,7,5561.89595378
321,8,5746.77198921
321,9,5937.79325799
321,10,6135.16402613
322,1,2827.47552374
322,2,2950.04348242
322,3,3077.92462749
322,4,3211.34927976
322,5,3350.55774417
322,6,3495.80074263
322,7,3647.33986556
322,8,3805.44804303
322,9,3970.41003636
322,10,4142.52295093
323,1,4139.25835912
323,2,4289.79964035
323,3,4445.81597903
323,4,4607.50649832
323,5,4775.07756332
323,6,4948.74304442
323,7,5128.72459032
323,8,5315.25191089
323,9,5508.56307035
323,10,5708.90479111
324,1,2651.63472752
324,2,2770.35726091
324,3,2894.39539822
324,4,3023.98713676
324,5,3159.38112979
324,6,3300.8371636
324,7,3448.62665599
324,8,3603.03317702
324,9,3764.35299315
324,10,3932.89563565
325,1,2691.19189689
325,2,2819.19572826
325,3,2953.28793291
325,4,3093.75809818
325,5,3240.90958535
325,6,3395.06018476
325,7,3556.54280214
325,8,3725.70617752
325,9,3902.91563844
325,10,4088.55388883
326,1,4773.02283351
326,2,5008.07803236
326,3,5254.70890315
326,4,5513.4855085
326,5,5785.00598468
326,6,6069.89792413
326,7,6368.8198261
326,8,6682.46261871
326,9,7011.55125591
326,10,7356.84639323
327,1,2541.85299711
327,2,2632.85112426
327,3,2727.10697684
327,4,2824.73718114
327,5,2925.86253869
327,6,3030.60817568
327,7,3139.10369781
327,8,3251.48335067
327,9,3367.88618581
327,10,3488.45623282
328,1,4358.25060116
328,2,4496.76806405
328,3,4639.68800152
328,4,4787.15033661
328,5,4939.29943949
328,6,5096.28426882
328,7,5258.25851758
328,8,5425.38076357
328,9,5597.81462462
328,10,5775.72891878
329,1,4934.66551266
329,2,5134.07626436
329,3,5341.54524165
329,4,5557.39807892
329,5,5781.97356951
329,6,6015.62419747
329,7,6258.71669078
329,8,6511.63259699
329,9,6774.76888204
329,10,7048.53855334
330,1,3203.76652217
330,2,3339.01103726
330,3,3479.96479451
330,4,3626.86880513
330,5,3779.97425445
330,6,3939.54293138
330,7,4105.84767605
330,8,4279.17284634
330,9,4459.81480405
330,10,4648.08242169
331,1,4315.71857624
331,2,4520.73466731
331,3,4735.48994708
331,4,4960.44707093
331,5,5196.09067245
331,6,5442.92840751
331,7,5701.49204792
331,8,5972.33862707
331,9,6256.05163991
331,10,6553.24230008
332,1,4865.62324471
332,2,5028.52369573
332,3,5196.87803325
332,4,5370.8688527
332,5,5550.68486278
332,6,5736.52109015
332,7,5928.57909091
332,8,6127.06716926
332,9,6332.20060337
332,10,6544.20187892
333,1,4731.0078961
333,2,4938.75457038
333,3,5155.62375758
333,4,5382.0160429
333,5,5618.34960191
333,6,5865.06097301
333,7,6122.60586373
333,8,6391.45999249
333,9,6672.11996736
333,10,6965.10420329
334,1,2855.73097989
334,2,2946.24256847
334,3,3039.62289633
334,4,3135.96288737
334,5,3235.35634727
334,6,3337.90005488
334,7,3443.69385639
334,8,3552.84076263
334,9,3665.4470493
334,10,3781.62236049
335,1,2661.39001583
335,2,2762.47925756
335,3,2867.40823518
335,4,2976.3227958
335,5,3089.37432631
335,6,3206.71996381
335,7,3328.52281406
335,8,3454.95217817
335,9,3586.18378789
335,10,3722.40004994
336,1,2081.43630184
336,2,2168.35689621
336,3,2258.90728684
336,4,2353.23905371
336,5,2451.51010676
336,6,2553.88495022
336,7,2660.53495801
336,8,2771.63866062
336,9,2887.38204395
336,10,3007.95886064
337,1,2449.07658432
337,2,2525.46362774
337,3,2604.23319379
337,4,2685.45959369
337,5,2769.21945644
337,6,2855.5918011
337,7,2944.65811135
337,8,3036.50241236
337,9,3131.21135004
337,10,3228.87427282
338,1,2763.56848893
338,2,2883.09203209
338,3,3007.78493415
338,4,3137.8707684
338,5,3273.58277761
338,6,3415.16429223
338,7,3562.86916667
338,8,3716.9622345
338,9,3877.71978324
338,10,4045.43004978
339,1,4629.1073302
339,2,4796.02387524
339,3,4968.959104
339,4,5148.13003846
339,5,5333.76152593
339,6,5526.08652132
339,7,5725.34637941
339,8,5931.79115776
339,9,6145.67993053
339,10,6367.28111359
340,1,3744.98685176
340,2,3887.17475605
340,3,4034.76118401
340,4,4187.95110424
340,5,4346.95726752
340,6,4512.00050222
340,7,4683.31002105
340,8,4861.12373934
340,9,5045.68860548
340,10,5237.2609439
341,1,1852.11512808
341,2,1909.98354546
341,3,1969.66003281
341,4,2031.20108237
341,5,2094.66495146
341,6,2160.11171762
341,7,2227.60333549
341,8,2297.20369544
341,9,2368.97868407
341,10,2442.99624658
342,1,4689.46774608
342,2,4880.40562396
342,3,5079.11778991
342,4,5285.92078437
342,5,5501.14403609
342,6,5725.130387
342,7,5958.23663825
342,8,6200.83411864
342,9,6453.30927611
342,10,6716.06429335
343,1,3178.94418062
343,2,3292.8270132
343,3,3410.78959642
343,4,3532.9780837
343,5,3659.54386427
343,6,3790.64375075
343,7,3926.44017343
343,8,4067.10138152
343,9,4212.80165161
343,10,4363.72150358
344,1,3492.78201595
344,2,3651.45950642
344,3,3817.34573362
344,4,3990.76819127
344,5,4172.06925121
344,6,4361.60683925
344,7,4559.75514181
344,8,4766.90534465
344,9,4983.46640513
344,10,5209.8658596
345,1,3956.65957299
345,2,4092.85097426
345,3,4233.73019298
345,4,4379.45858759
345,5,4530.20307062
345,6,4686.13629986
345,7,4847.43687613
345,8,5014.28954782
345,9,5186.88542253
345,10,5365.4221859
346,1,2173.68000996
346,2,2262.87585523
346,3,2355.73180629
346,4,2452.39805372
346,5,2553.03095107
346,6,2657.7932678
346,7,2766.8544525
346,8,2880.39090703
346,9,2998.58627179
346,10,3121.63172277
347,1,5068.22895415
347,2,5261.56180494
347,3,5462.26953786
347,4,5670.63347545
347,5,5886.94567158
347,6,6111.50932082
347,7,6344.6391834
347,8,6586.66202641
347,9,6837.91708182
347,10,7098.75652195
348,1,2084.76768443
348,2,2149.48382692
348,3,2216.20891225
348,4,2285.00530277
348,5,2355.93729672
348,6,2429.0711883
348,7,2504.47532965
348,8,2582.22019471
348,9,2662.37844511
348,10,2745.02499806
349,1,2413.92174563
349,2,2492.30889395
349,3,2573.24150382
349,4,2656.8022339
349,5,2743.07642697
349,6,2832.15219718
349,7,2924.12051998
349,8,3019.07532508
349,9,3117.11359235
349,10,3218.33545089
350,1,3404.445059
350,2,3526.08644957
350,3,3652.07410735
350,4,3782.56332517
350,5,3917.71494455
350,6,4057.69555386
350,7,4202.67769372
350,8,4352.84006965
350,9,4508.36777236
350,10,4669.45250586
351,1,4274.5109064
351,2,4418.72877604
351,3,4567.81241731
351,4,4721.92599666
351,5,4881.23921933
351,6,5045.92751626
351,7,5216.17223728
351,8,5392.16085077
351,9,5574.0871501
351,10,5762.15146706
352,1,4124.90855254
352,2,4271.87310238
352,3,4424.07378744
352,4,4581.69716366
352,5,4744.93643373
352,6,4913.99168384
352,7,5089.07012899
352,8,5270.38636694
352,9,5458.16264127
352,10,5652.62911376
353,1,1662.20595524
353,2,1727.9103425
353,3,1796.21192084
353,4,1867.21335316
353,5,1941.02136044
353,6,2017.74688216
353,7,2097.50524309
353,8,2180.4163266
353,9,2266.60475483
353,10,2356.20007609
354,1,5063.05554817
354,2,5255.1315055
354,3,5454.49420362
354,4,5661.42007791
354,5,5876.19605084
354,6,6099.11992975
354,7,6330.50081985
354,8,6570.65955281
354,9,6819.92913161
354,10,7078.65519227
355,1,4091.44114077
355,2,4234.73073826
355,3,4383.03859413
355,4,4536.54045676
355,5,4695.41822959
355,6,4859.8601866
355,7,5030.06119551
355,8,5206.22294861
355,9,5388.55420186
355,10,5577.2710222
356,1,1883.91234669
356,2,1976.12791203
356,3,2072.85733414
356,4,2174.32156164
356,5,2280.75235838
356,6,2392.39283279
356,7,2509.49799322
356,8,2632.33533041
356,9,2761.1854285
356,10,2896.34260593
357,1,5197.37435381
357,2,5419.88366245
357,3,5651.91901041
357,4,5893.88822522
357,5,6146.2165943
357,6,6409.3476124
357,7,6683.7437611
357,8,6969.88732171
357,9,7268.28122287
357,10,7579.44992457
358,1,3272.17192668
358,2,3410.99366605
358,3,3555.70491116
358,4,3706.55552401
358,5,3863.80596698
358,6,4027.72775255
358,7,4198.60391214
358,8,4376.72948473
358,9,4562.41202631
358,10,4755.97214095
359,1,4347.42137709
359,2,4557.52896793
359,3,4777.79089991
359,4,5008.69792466
359,5,5250.76451147
359,6,5504.52999355
359,7,5770.55976967
359,8,6049.44656389
359,9,6341.81174619
359,10,6648.30671688
360,1,2226.77470995
360,2,2295.61370781
360,3,2366.58080943
360,4,2439.74180347
360,5,2515.1645124
360,6,2592.91885536
360,7,2673.076913
360,8,2755.71299427
360,9,2840.90370533
360,10,2928.72802058
361,1,1178.79778991
361,2,1229.70285797
361,3,1282.80620463
361,4,1338.20276009
361,5,1395.99155403
361,6,1456.27589259
361,7,1519.16354309
361,8,1584.76692665
361,9,1653.20331917
361,10,1724.59506099
362,1,4195.6812443
362,2,4369.25815433
362,3,4550.01600637
362,4,4738.25187868
362,5,4934.27513978
362,6,5138.40795687
362,7,5350.98582532
362,8,5572.35812009
362,9,5802.8886699
362,10,6042.95635519
363,1,2985.95101611
363,2,3092.57838037
363,3,3203.013374
363,4,3317.39196626
363,5,3435.85498178
363,6,3558.54827404
363,7,3685.62290487
363,8,3817.23533048
363,9,3953.5475941
363,10,4094.72752543
364,1,4304.76832506
364,2,4458.86196641
364,3,4618.47154928
364,4,4783.7945225
364,5,4955.0354028
364,6,5132.4060278
364,7,5316.12581805
364,8,5506.42204849
364,9,5703.53012963
364,10,5907.69389871
